brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
Toyota,Corolla Hatchback SE,2022.0,14518.0,2.0,CVT,1.0,Gasoline,Front-wheel Drive,4.5,0.0,1.0,1.0,0.0,1.0,7.0,Black,Finish Line Red / Midnight Black Metallic,25299
Toyota,Tacoma TRD Pro,2021.0,21838.0,3.5,6,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,11.0,Black,Magnetic Gray Metallic,50901
Maserati,Quattroporte S Q4,2018.0,36475.0,3.0,8,1.0,Gasoline,Four-wheel Drive,5.0,1.0,0.0,0.0,1.0,1.0,13.0,Cuoio,Bianco,44995
MINI,Cooper Base (M5),2004.0,157952.0,1.6,CVT,1.0,Gasoline,Front-wheel Drive,4.5,0.0,0.0,1.0,0.0,1.0,1.0,Black,Hot Orange Metallic,3995
FIAT,500X Pop,2019.0,25357.0,1.3,9,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,7.0,Black,White,21998
FIAT,124 Spider Lusso,2017.0,26899.0,1.4,6,1.0,Gasoline,Rear-wheel Drive,4.5,0.0,0.0,0.0,1.0,1.0,7.0,Saddle,Grigio Moda Meteor Gray,21992
Maserati,Ghibli Base,2017.0,56708.0,3.0,Automatic,1.0,Gasoline,Rear-wheel Drive,4.0,1.0,0.0,1.0,0.0,1.0,11.0,Blu,Bianco,27790
Mazda,Mazda6 i Touring,2014.0,62820.0,2.5,6,1.0,Gasoline,Front-wheel Drive,3.5,1.0,1.0,1.0,0.0,1.0,5.0,Black,Blue Reflex Mica,14990
MINI,Cooper,2010.0,81161.0,1.6,6,0.0,Gasoline,Front-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,2.0,Black,White,8995
Porsche,718 Cayman GT4,2022.0,725.0,4.0,7,1.0,Gasoline,Rear-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,5.0,Black,Irish Green,159995
Jeep,Wrangler Unlimited Sport,2017.0,29331.0,3.6,6,0.0,Gasoline,Four-wheel Drive,4.0,0.0,0.0,1.0,0.0,0.0,1.0,Black,Bright White Clearcoat,30280
Lexus,NX 300h Base,2019.0,18786.0,2.5,CVT,1.0,Hybrid,Four-wheel Drive,1.5,1.0,1.0,0.0,0.0,1.0,10.0,Black,Eminent White Pearl,34595
Mercedes-Benz,AMG E 63 S 4MATIC,2018.0,21658.0,4.0,Automatic,1.0,Gasoline,Four-wheel Drive,7.0,0.0,Unknown,1.0,0.0,1.0,12.0,Black,Polar White,63585
Kia,Optima Hybrid EX,2016.0,38106.0,2.4,6,1.0,Hybrid,Front-wheel Drive,4.0,1.0,0.0,0.0,0.0,1.0,8.0,Beige,Aurora Black,15498
Toyota,Tundra SR5,2019.0,39180.0,5.7,6,1.0,Gasoline,Four-wheel Drive,2.0,0.0,0.0,1.0,0.0,0.0,6.0,Black,White,49900
