"brand","model","year","mileage","engine_size","drivetrain","avg_mpg","damaged","first_owner","extras","price"
"Jeep","Grand Cherokee Limited",2021,39796,3.6,"Four-wheel Drive",2.5,0,1,12,34499
"Maserati","MC20 Base",2022,238,3,"Rear-wheel Drive",4,0,1,8,294895
"Maserati","Ghibli Trofeo",2021,2212,3.8,"Rear-wheel Drive",3,0,1,10,83588
"Porsche","Panamera 4",2020,38535,3,"Four-wheel Drive",4,0,0,8,69900
"BMW","Z4 sDrive30i",2011,92038,3,"Rear-wheel Drive",5,1,0,3,15900
"Cadillac","CT6 3.0L Twin Turbo Platinum",2017,67343,3,"Four-wheel Drive",3,1,1,10,37995
"Mazda","Mazda3 i Touring",2013,62164,2,"Front-wheel Drive",4,1,0,0,13000
"Alfa","Romeo Giulia Ti",2019,25515,2,"Four-wheel Drive",4,0,1,10,31904
"Land","Rover Range Rover Evoque SE",2021,16531,2,"Four-wheel Drive",5,0,0,8,48198
"Lexus","RX 350 Base",2016,86916,3.5,"Front-wheel Drive",4.5,1,0,7,23999
"Maserati","Quattroporte S Q4",2016,58921,3,"Four-wheel Drive",4,1,0,9,27995
"Honda","Civic LX",2017,64445,2,"Front-wheel Drive",4.5,0,0,4,17373
"Ford","Mustang GT Premium",2018,80833,5,"Rear-wheel Drive",4.5,1,1,8,29500
"Alfa","Romeo Stelvio Base",2021,24315,2,"Four-wheel Drive",4.5,0,1,9,35879
"Toyota","4Runner Limited",2017,59501,4,"Four-wheel Drive",1.5,1,0,11,36500
"Cadillac","Escalade ESV Base",2023,7959,6.2,"Four-wheel Drive",5,0,1,16,110900
"Kia","Stinger GT",2018,41061,3.3,"Unknown",3.5,1,1,9,32000
"Cadillac","XT4 Premium Luxury",2019,24702,2,"Four-wheel Drive",2,0,0,9,34114
"Nissan","Maxima SV",2022,28885,3.5,"Front-wheel Drive",4.5,0,1,9,25551
"Cadillac","CT4-V V-Series Blackwing",2022,13091,3.6,"Rear-wheel Drive",3,0,1,9,64994
"Chevrolet","Camaro LT1",2021,16795,6.2,"Rear-wheel Drive",4,0,1,5,39046
"Lexus","RX 350 F SPORT Appearance",2022,7216,3.5,"Four-wheel Drive",1.5,0,1,7,52614
"Mitsubishi","Outlander SE",2020,26595,2.4,"Four-wheel Drive",3,0,1,9,22000
"Cadillac","CT5 Luxury AWD",2021,25588,2,"Four-wheel Drive",4,0,1,11,32736
"FIAT","500X Easy",2016,75807,2.4,"Front-wheel Drive",4.5,1,1,7,13489
"Mercedes-Benz","AMG S 63 Base 4MATIC",2019,57716,4,"Four-wheel Drive",4,0,1,7,95822
"Cadillac","Escalade Luxury",2016,91822,6.2,"Four-wheel Drive",3.5,1,0,10,32999
"BMW","M760 i xDrive",2019,23260,6.6,"Four-wheel Drive",3.5,1,1,5,78999
